sno,name,category,price,image_url,,description,stock
1,Tama Imperialstar,Acoustic Drum Kit,37000,products/ads1.jpeg,,"A premium acoustic drum kit with high-quality shells, responsive cymbals, and deep resonance for powerful performances.",20
2,Pearl Roadshow,Acoustic Drum Kit,23000,products/ads2.jpeg,,"A premium acoustic drum kit with high-quality shells, responsive cymbals, and deep resonance for powerful performances.",30
3,DW Collector Series,Acoustic Drum Kit,58000,products/ads3.jpeg,,"A premium acoustic drum kit with high-quality shells, responsive cymbals, and deep resonance for powerful performances.",15
4,Yamaha FG800,Acoustic Guitar,2500,products/ag1.jpg,,"A beautifully crafted acoustic guitar with warm resonance and premium build quality, ideal for both solo performances and studio recordings.",25
5,Taylor 214ce,Acoustic Guitar,10000,products/ag2.jpg,,"A beautifully crafted acoustic guitar with warm resonance and premium build quality, ideal for both solo performances and studio recordings.",35
6,Martin D-28,Acoustic Guitar,23000,products/ag3.jpeg,,"A beautifully crafted acoustic guitar with warm resonance and premium build quality, ideal for both solo performances and studio recordings.",20
7,Korg Minilogue,Analog Synthesizer,16000,products/as1.jpeg,,"A premium analog synthesizer delivering warm, vintage tones with hands-on modulation and extensive patching capabilities.",15
8,Moog Sub 37,Analog Synthesizer,25999,products/as2.jpeg,,"A premium analog synthesizer delivering warm, vintage tones with hands-on modulation and extensive patching capabilities.",14
9,Behringer DeepMind 12,Analog Synthesizer,34500,products/as3.jpeg,,"A premium analog synthesizer delivering warm, vintage tones with hands-on modulation and extensive patching capabilities.",10
10,Focusrite Scarlett 2i2,Audio Interface,7899,products/ai1.jpeg,,"A high-quality audio interface with multiple inputs and outputs, ensuring seamless recording and playback with zero latency.",15
11,Fender Jazz Bass,Bass Guitar,13000,products/bg1.jpg,,"A solid bass guitar offering deep, punchy tones with excellent sustain, suitable for all music genres.",15
12,Gibson Thunderbird,Bass Guitar,1700,products/bg2.jpg,,"A solid bass guitar offering deep, punchy tones with excellent sustain, suitable for all music genres.",9
13,Shure SM58,Condenser Microphone,3499,products/cm1.jpg,,"A professional-grade microphone designed for crystal-clear vocals and instrument recording, suitable for studio and live settings.",13
14,Rode NT1-A,Condenser Microphone,23499,products/cm2.jpeg,,"A professional-grade microphone designed for crystal-clear vocals and instrument recording, suitable for studio and live settings.",10
